абажур,ɐbɐˈʐur
абонемент,ɐbənʲɪˈmʲent
авангард,ɐvɐnˈɡard
авто,ˈafto
актёр,ɐkˈtʲør
арена,ɐˈrʲenə
аристократ,ɐrʲɪstɐˈkrat
артист,ɐrˈtʲist
астроном,ɐstrɐˈnom
бабушка,ˈbabʊʂkə
банан,bɐˈnan
бар,bar
бассейн,bɐˈsʲejn
библиотека,bʲɪblʲɪɐˈtʲɛkə
бизнес,ˈbʲiznəs
болезнь,bɐˈlʲeznʲ
букет,bʊˈkʲet
вебсайт,vɛpˈsajt
вектор,ˈvʲɛktɔr
вино,vʲɪˈno
вишня,ˈvʲiʂnʲə
вода,vɐˈda
волейбол,vɐlʲɪˈbol
вопрос,vɐˈpros
время,ˈvrʲemʲə
всегда,fʲɪkˈda
вторник,ˈftornʲɪk
выбор,ˈvɨbər
выигрыш,ˈvɨɪɡrɨʂ
галерея,ɡəlʲɪˈrʲejə
гардероб,ɡərʲdʲɪˈrop
гвардия,ˈɡvardʲɪjə
где,ɡdʲe
голос,ˈɡoləs
горизонт,ɡərʲɪˈzont
гостиница,ɡəsˈtʲinʲɪtsə
график,ˈɡrɐfʲɪk
греция,ˈɡrʲɛt͡sɪjə
группа,ˈɡrupə
декабрь,dʲɪˈkabrʲ
дело,ˈdʲɛlə
демонстрация,dʲɪmənˈstratsɨjə
дерево,ˈdʲɛrʲɪvə
диалог,dʲɪɐˈlog
джаз,ʐaz
день,dʲenʲ
дешевый,dʲɪˈʂɛvɨj
джинсы,ˈd͡ʐɪnsɨ
дозор,dɐˈzor
дом,dom
доллар,ˈdolɐr
друзья,drʊzʲˈja
друзья,drʊzʲˈja
ежедневно,jɪʐɪˈdʲɛv.nə
желание,ʐɪˈlanʲɪjə
забота,zɐˈbotə
загадка,zəˈɡatkə
зайчик,ˈzajt͡ɕɪk
заработок,zɐrɐˈbətək
зверь,zvʲerʲ
здание,ˈzdænʲɪjə
зеленый,zʲɪˈlʲonɨj
зеркало,ˈzʲɛrkələ
зима,zʲɪˈma
злодей,zlɐˈdʲej
знаменитый,znəmʲɪˈnʲitɨj
иностранный,ɪnɐˈstranɨj
иностранцы,ɪnɐˈstrantsɨ
искусство,ɪsˈkʊstvə
история,ɪsˈtoɾɪjə
календарь,kəlʲɪnˈdarʲ
картина,kɐrˈtʲinə
кассета,kɐˈsʲetə
катастрофа,kətɐˈstrofə
квартира,kvɐrˈtʲirə
классический,klasˈʲit͡ɕɪskʲɪj
клуб,klup
комедия,kɐˈmʲedʲɪjə
компьютер,kəmˈpʲjutər
концерт,kənˈtsɛrt
конфетти,kənfʲɪˈtʲi
контракт,kənˈtrakt
коридор,kɐrʲɪˈdor
корпус,ˈkorpəs
космос,ˈkosməs
красный,ˈkrasnɨj
критика,ˈkrʲitʲɪkə
культура,kʊlʲˈtʊrə
книга,ˈknʲiga
кнопка,ˈknɔtkə
коктейль,kəʊkˈtɛjl
колесо,kəlʲɪˈso
коллекция,kɐlʲˈɛktsɨjə
комплекс,ˈkɔmplʲɪks
компот,kəmˈpot
конфликт,kənˈflʲikt
корова,kɐˈrovə
коса,kɐˈsɑ
костюм,kɐˈstʲum
кровать,krɐˈvatʲ
крыло,krɨˈlo
культура,kʊlʲˈtʊrə
китай,kʲɪˈtaɪ
книга,ˈknʲiga
кнопка,ˈknɔtkə
код,kot
команда,kɐˈmandə
комедия,kɐˈmʲedʲɪjə
комплекс,ˈkɔmplʲɪks
компот,kəmˈpot
конкурс,ˈkonkʊrs
контакт,kənˈtakt
коридор,kɐrʲɪˈdor
космос,ˈkosməs
красный,ˈkrasnɨj
критика,ˈkrʲitʲɪkə
культура,kʊlʲˈtʊrə
книга,ˈknʲiga
кнопка,ˈknɔtkə
коктейль,kəkˈtɛjl
колесо,kəlʲɪˈso
коллекция,kɐlʲˈɛktsɨjə
колонка,kɐˈlonkə
компьютер,kəmˈpʲjutər
концерт,kənˈtsɛrt
конфетти,kənfʲɪˈtʲi
конфликт,kənˈflʲikt
косметика,kəsˈmʲetʲɪkə
костюм,kɐˈstʲum
кот,kot
крем,krʲem
кровь,krɔf
круг,kruk
крутой,krʊˈtoj
куб,kub
культура,kʊlʲˈtʊrə
курсы,ˈkursɨ
куст,kust
культурный,kʊlʲˈtʊrnyj
лампа,ˈlampə
лес,lʲes
лист,lʲist
литература,lʲɪtʲɪrɐˈturə
лошадь,ˈloʂətʲ
люди,ˈlʲudʲɪ
магазин,mɐɡɐˈzʲin
мать,matʲ
медаль,mʲɪˈdalʲ
мелодия,mʲɪˈlodʲɪjə
меню,mʲɪˈnʲu
мера,ˈmʲɛrə
метод,ˈmʲetət
место,ˈmʲɛstə
метро,mʲɪˈtrɔ
молоко,məlɐˈko
молния,ˈmolnʲɪjə
монета,mɐˈnʲetə
мост,most
музей,mʊˈzʲej
мужчина,mʊˈʐt͡ɕɪnə
мультфильм,mʊlʲtˈfʲilʲm
музыка,ˈmuzɨkə
мягкий,ˈmʲjæxkʲɪj
награда,nɐˈɡradə
надежда,nɐˈdʲɛʐdə
неделя,nʲɪˈdʲɛlʲə
небо,ˈnʲɛbə
новый,ˈnovɨj
номер,ˈnomʲɪr
норма,ˈnormə
нос,nos
нужный,ˈnuʐnɨj
обед,ɐˈbʲet
обзор,ɐˈbzɔr
океан,ɐkʲɪˈan
операция,ɐpʲɪˈratsɨjə
оранжевый,ɐˈranʐɨvɨj
организация,ˌɐrɡənʲɪˈzatsɨjə
отель,ɐˈtʲelʲ
отельный,ɐˈtʲelʲnɨj
площадка,ˈploɕːɪtkə
погода,pɐˈɡodə
поздравление,pəzdrɐˈvlʲenʲɪjə
проект,prɐˈjɛkt
праздник,ˈprazdnʲɪk
проект,prɐˈjɛkt
проблема,prɐˈblʲɛmə
программа,prɐˈɡramə
праздничный,ˈpraznʲɪt͡ʂnɨj
приключение,prʲɪklʲʊˈt͡ɕenʲɪjə
природа,prʲɪˈrodə
приход,prʲɪˈxot
продавец,prədɐˈvʲɛts
продукты,prɐˈdʊktɨ
простой,prɐˈstoj
путь,putʲ
площадь,ˈploɕːɪtʲ
показывать,pɐˈkazɨvətʲ
покупка,pɐˈkupkə
положение,pəlɐˈʐenʲɪjə
поток,pɐˈtok
праздничный,ˈpraznʲɪt͡ʂnɨj
праздник,ˈprazdnʲɪk
пункт,pʊŋkt
пушка,ˈpuʂkə
премия,ˈprʲemʲɪjə
проверка,prɐˈvʲɛrkə
приказ,prʲɪˈkaz
прикосновение,prʲɪkəsnɐˈvʲenʲɪjə
приготовление,prʲɪɡətɐˈvlʲenʲɪjə
премьера,prʲɪˈmʲjerə
поклонник,pɐˈklonʲɪk
плавник,ˈplavnʲɪk
победа,pɐˈbʲedə
поверхность,pɐˈvʲɛrɪxnəsʲtʲ
позвонить,pəzvɐˈnʲitʲ
подготовка,pədɐˈtovkə
полотно,pɐlɐˈtnɔ
показывать,pɐˈkazɨvətʲ
попросить,pəprɐˈsʲitʲ
погоня,pɐˈɡonʲə
поставить,pɐˈstavʲɪtʲ
поручение,pɐrʊˈt͡ɕenʲɪjə
позаботиться,pəzɐˈbotʲɪtsə
пункт,pʊŋkt
плащ,plaɕ
параллельно,pərɐˈlʲɛlnə
помощь,ˈpoməɕ
порог,pɐˈrok
повторить,pɐfˈtɔrʲɪtʲ
появление,pɐɪvˈlʲenʲɪjə
пора,pɐˈra
полный,ˈpolnɨj
последний,pɐˈslʲednʲɪj
принять,prʲɪˈnʲatʲ
потратить,pɐˈtratʲɪtʲ
показать,pɐkɐˈzatʲ
пламя,ˈplamʲə
профессор,prəˈfʲesər
пожар,pɐˈʐar
первый,ˈpʲɛrvɨj
потому,pɐtɐˈmu
популярный,pəpʊˈlʲarnɨj
профессионал,prəfʲɪsʲɪˈɐnəl
проверить,prɐˈvʲɛrɪtʲ
план,plan
пограничник,pɐɡrɐˈnʲit͡ʃnʲɪk
потрясающий,pətrʲɪˈsajʊɕːɪj
поиск,ˈpoɪsk
помощник,pɐˈmoʂnʲɪk
поезд,ˈpoɪɪzɡ
проект,prɐˈjɛkt
показывать,pɐˈkazɨvətʲ
положить,pɐˈlɐʐɨtʲ
поручить,pɐrʊˈt͡ɕɪtʲ
польза,ˈpolʲzə
поле,ˈpolʲɪ
пожилой,pɐʐɨˈloj
плотный,ˈplɔtnɨj
поздно,ˈpozdnə
положить,pɐˈlɐʐɨtʲ
пакет,pɐˈkʲet
права,ˈprɐvə
прошлый,ˈproʂlɨj
приоритет,prɪɔrʲɪˈtʲɛt
платформа,plətˈfɔrmə
плечо,ˈplʲet͡ɕo
первоначально,pʲɪrvənɐˈt͡ɕalʲnə
поздний,ˈpozdnʲɪj
папа,ˈpɑpə
парк,park
планировать,pləˈnʲɪrɐvətʲ
порой,pɐˈroj
похоже,pɐˈxoʐə
постоянный,pəstɐˈjænɨj
приговор,prʲɪɡɐˈvor
пользователь,ˈpolʲzəvətʲɪlʲ
потому что,pɐtɐˈmu ˈʂtɔ
первичный,pʲɪrˈvʲit͡ɕnɨj
птица,ˈptʲitsə
поступать,pɐstʊˈpatʲ
позитивный,pɐzʲɪˈtʲivnɨj
поддерживать,pɐdʲɪrˈʐɨvətʲ
прибавить,prʲɪˈbavʲɪtʲ
попробовать,pɐˈprɔbəvətʲ
пять,pʲatʲ
победить,pɐbʲɪˈdʲitʲ
порядок,pɐˈrʲadək
повторить,pɐfˈtɔrʲɪtʲ
похвала,pɐxvɐˈla
позволить,pɐzˈvɔlʲɪtʲ
пламя,ˈplamʲə
передвигать,pʲɪrʲɪdvɨˈɡatʲ
пить,pʲitʲ
проводить,prəvɐˈdʲitʲ
положение,pəlɐˈʐenʲɪjə
период,pʲɪˈrʲijət
педагог,pʲɪˈdɐɡɔɡ
прогноз,prɐɡˈnɔz
преимущества,prʲɪɪˈmʊʂt͡və
песня,ˈpʲesnʲə
поступление,pɐstʊˈplʲenʲɪjə
пик,pʲik
падение,pɐˈdʲenʲɪjə
признание,prʲɪzˈnʲanʲɪjə
принимать,prʲɪnʲɪˈmatʲ
пытаться,pɨˈtat͡sə
платить,plɐˈtʲitʲ
переход,pʲɪrʲɪˈxot
путь,putʲ
покрытие,pɐˈkrɨtʲɪjə
порой,pɐˈroj
падение,pɐˈdʲenʲɪjə
право,ˈprɐvə
повторно,pɐfˈtɔrnə
проверять,prɐvɐˈrʲætʲ
популярный,pəpʊˈlʲarnɨj
поражение,pɐrɐˈʐenʲɪjə
параметр,pɐˈramʲɪtər
пожилой,pɐʐɨˈloj
птица,ˈptʲit͡sə
рыба,ˈrɨbə
осень,ˈosʲɪnʲ
весна,vʲɪˈsna
лето,ˈlʲetə
кофе,ˈkofʲɪ
чай,t͡ɕaj
сахар,ˈsaxər
молоко,mɐˈlokə
хлеб,xlʲep
сыр,sɨr
груша,ˈɡruʂə
виноград,vʲɪnɐˈɡrat
банан,bɐˈnan
апельсин,ɐpʲɪlʲˈsʲin
лимон,lʲɪˈmon
вишня,ˈvʲiʂnʲə
арбуз,ˈarbuz
дыня,ˈdɨnʲə
персик,ˈpʲersʲɪk
помидор,pɐˈmʲidər
огурец,ɐˈɡurʲet͡s
капуста,kɐˈpustə
морковь,mɐrˈkovʲ
картофель,kɐrˈtofʲɪlʲ
лук,luk
чеснок,ˈt͡ɕesnək
шпинат,ʂpʲɪˈnat
укроп,ʊˈkrop
петрушка,pʲɪˈtruʂkə
базилик,bɐˈzʲilʲɪk
розмарин,rozˈmarʲɪn
орегано,ɐˈrʲeɡanə
лавр,ˈlavr
мука,mʊˈka
яйцо,ˈjajt͡so
масло,ˈmaslə
пирог,pʲɪˈrok
пицца,ˈpʲit͡sə
суп,sup
борщ,borʂ
каша,ˈkaʂə
блин,blʲin
пельмени,pʲɪlʲˈmʲenʲɪ
вареники,vɐˈrʲenʲɪkʲɪ
котлета,kɐtˈlʲetə
курица,ˈkurʲɪt͡sə
говядина,ɡəvʲɪˈdʲinə
свинина,svʲɪˈnʲinə
форель,fɐˈrʲelʲ
лосось,lɐˈsosʲ
тунец,tʊˈnʲet͡s
шашлык,ʂɐˈʂlɨk
слово,транскрипция
погода,pɐˈɡodə
побеждать,pɐbʲɪˈʐdatʲ
появляться,pɐɪvˈlʲæt͡sə
поймать,pɐɪˈmatʲ
пить,pʲitʲ
плечо,ˈplʲet͡ɕo
пылать,pɨˈlatʲ
показывать,pɐˈkazɨvətʲ
порез,pɐˈrʲɛz
поток,pɐˈtok
песня,ˈpʲesnʲə
попробовать,pɐˈprɔbəvətʲ
психология,psɪxɐˈloɡʲɪjə
психолог,psɪˈxolək
пограничник,pɐɡrɐˈnʲit͡ʂnʲɪk
поклонник,pɐˈklonʲɪk
пламя,ˈplamʲə
пора,pɐˈra
потому что,pɐtɐˈmu ˈʂtɔ
пункт,pʊŋkt
пояснить,pɐɪˈsnʲitʲ
праздник,ˈprazdnʲɪk
поражение,pɐrɐˈʐenʲɪjə
продажа,prɐˈdaʐə
принять,prʲɪˈnʲatʲ
проект,prɐˈjɛkt
показать,pɐkɐˈzatʲ
покрытие,pɐˈkrɨtʲɪjə
приглашение,prʲɪɡlɐˈʂenʲɪjə
поздний,ˈpozdnʲɪj
праздничный,ˈpraznʲɪt͡ʂnɨj
поручение,pɐrʊˈt͡ɕenʲɪjə
плотный,ˈplɔtnɨj
повторить,pɐfˈtɔrʲɪtʲ
поезд,ˈpoɪɪzɡ
положить,pɐˈlɐʐɨtʲ
порой,pɐˈroj
пожар,pɐˈʐar
поверхность,pɐˈvʲɛrɪxnəsʲtʲ
погоня,pɐˈɡonʲə
права,ˈprɐvə
пожилой,pɐʐɨˈloj
площадь,ˈploɕːɪtʲ
поставить,pɐˈstavʲɪtʲ
профессионал,prəfʲɪsʲɪˈɐnəl
престиж,prʲɪˈstʲiʐ
потрясающий,pətrʲɪˈsajʊɕːɪj
пограничный,pɐɡrɐˈnʲit͡ʂnɨj
популярный,pəpʊˈlʲarnɨj
пластик,ˈplastʲɪk
порядок,pɐˈrʲadək
потратить,pɐˈtratʲɪtʲ
платить,plɐˈtʲitʲ
попасть,pɐˈpastʲ
поступать,pɐstʊˈpatʲ
позвать,pɐˈzvatʲ
позаботиться,pəzɐˈbotʲɪtsə
потребность,pɐˈtrʲɛbnəsʲtʲ
публичный,pʊˈblʲɪt͡ʂnɨj
пользоваться,ˈpolʲzəvət͡sə
позволить,pɐzˈvɔlʲɪtʲ
половина,pɐlɐˈvʲinə
потому что,pɐtɐˈmu ˈʂtɔ
погрузить,pəɡrʊˈzʲitʲ
проводить,prəvɐˈdʲitʲ
плохо,ˈplɔxə
погрузка,pəˈɡruskə
проектировать,prɐɪɛkˈtʲɪrɐvətʲ
поглотить,pəɡlɐˈtʲitʲ
психический,psɪˈxʲɪt͡ʂɨkɪj
постоянный,pəstɐˈjænɨj
программировать,prəɡræˈmʲirəvətʲ
проверить,prɐˈvʲɛrɪtʲ
попробовать,pɐˈprɔbəvətʲ
пара,ˈparə
площадка,ˈploɕːɪtkə
проблема,prɐˈblʲɛmə
пожилой,pɐʐɨˈloj
потерять,pɐtʲɪˈrʲatʲ
проводник,prəvɐˈdʲnik
пожертвовать,pɐˈʐɛrtvʊvətʲ
пойти,pɐjˈtʲi
пыль,pɨlʲ
песня,ˈpʲesnʲə
пожарный,pɐˈʐarnɨj
попытка,pɐˈpɨtkə
погрешность,pɐˈɡrʲeʂnəsʲtʲ
погружение,pəɡrʊˈʐenʲɪjə
поток,pɐˈtok
поездка,ˈpoɪɪzdkə
повседневный,pəfsʲɪˈdʲɛvnɨj
параллельный,pɐrɐˈlʲɛlnɨj
покидать,pɐkʲɪˈdatʲ
потратить,pɐˈtratʲɪtʲ
поступление,pɐstʊˈplʲenʲɪjə
проблематичный,prɐblʲɪˈmʲætʲɪt͡ʂnɨj
погрузка,pəˈɡruskə
пожилой,pɐʐɨˈloj
профессия,prəˈfʲɛsʲɪjə
проводить,prəvɐˈdʲitʲ
построить,pɐˈstroɪtʲ
пункт,pʊŋkt
придумать,prʲɪˈdʊmatʲ
публичный,pʊˈblʲɪt͡ʂnɨj
повторение,pɐfˈtɔrʲɪnʲɪjə
платить,plɐˈtʲitʲ
потому что,pɐtɐˈmu ˈʂtɔ
профессионал,prəfʲɪsʲɪˈɐnəl
поставить,pɐˈstavʲɪtʲ
прикоснуться,prʲɪkɐˈsnʲut͡sə
поиск,ˈpoɪɪsk
плавать,ˈplavətʲ
повседневный,pəfsʲɪˈdʲɛvnɨj
показатель,pɐkɐˈzatʲɪlʲ
прощение,prɐˈɕːenʲɪjə
пикник,ˈpʲiknʲɪk
поступить,pɐstʊˈpʲitʲ
помочь,pɐˈmoʂʲ
проведение,prəvʲɪˈdʲenʲɪjə
поручение,pɐrʊˈt͡ɕenʲɪjə
платформа,plətˈfɔrmə
поставить,pɐˈstavʲɪtʲ
поставка,pɐˈstavkə
поглощение,pəɡlɐˈʂenʲɪjə
придать,prʲɪˈdatʲ
психолог,psɪˈxolək
период,pʲɪˈrʲijət
потенциал,pətʲɪnʲɪˈt͡sial
признак,ˈprʲiznək
прибыль,ˈprʲɪbɨlʲ
покрытие,pɐˈkrɨtʲɪjə
проводка,prəˈvɔtkə
периферия,pʲɪrʲɪˈfʲɛrʲɪjə
победа,pɐˈbʲɛdə
профессор,prɐˈfʲɛsər
прибавить,prʲɪˈbavʲɪtʲ
попасть,pɐˈpastʲ
показывать,pɐˈkazɨvətʲ
площадь,ˈploɕːɪtʲ
поток,pɐˈtok
положить,pɐˈlɐʐɨtʲ
профессиональный,prəfʲɪsʲɪˈalʲnɨj
путевка,pʊˈtʲefkə
поворот,pəvɐˈrot
покупка,pɐˈkupkə
поступить,pɐstʊˈpʲitʲ
программист,prəɡrɐˈmʲist
положить,pɐˈlɐʐɨtʲ
предел,prʲɪˈdʲel
поймать,pɐɪˈmatʲ
потенциал,pətʲɪnʲɪˈt͡sial
планета,plɐˈnʲetə
печатать,pʲɪˈt͡satʲ
перевод,pʲɪrʲɪˈvot
перестроить,pʲɪrʲɪˈstroɪtʲ
плавать,ˈplavətʲ
пожарный,pɐˈʐarnɨj
погода,pɐˈɡodə
показывать,pɐˈkazɨvətʲ
пошаговый,pɐˈʂaɡəvɨj
подарок,pɐˈdarək
площадка,ˈploɕːɪtkə
поклон,pɐˈklon
психология,psɪxɐˈloɡʲɪjə
песня,ˈpʲesnʲə
попросить,pɐprɐˈsʲitʲ
пункт,pʊŋkt
поток,pɐˈtok
победа,pɐˈbʲɛdə
профессор,prɐˈfʲɛsər
планирование,plɐnʲɪˈrovəɲɪjə
пейзаж,pɨˈzaʐ
проверка,prɐˈvʲɛrkə
постепенно,pɐstʲɪˈpʲɛnnə
поздно,ˈpozdnə
потратить,pɐˈtratʲɪtʲ
поблагодарить,pɐblɐɡədɐˈrʲitʲ
платить,plɐˈtʲitʲ
появиться,pɐɪˈvʲɪt͡sə
поставить,pɐˈstavʲɪtʲ
потемнеть,pətʲɪˈmʲnʲetʲ
потеря,pɐˈtʲerʲə
побеждать,pəbʲɪˈʐdatʲ
передача,pʲɪrʲɪˈdatʂə
поглощение,pəɡlɐˈʂenʲɪjə
первичный,pʲɪrˈvʲɪt͡ʂnɨj
пожилой,pɐʐɨˈloj
пригласить,prʲɪɡlɐˈsʲitʲ
привлечение,prʲɪvlʲɪˈt͡ɕenʲɪjə
планировать,plɐˈnʲɪrɐvətʲ
промежуток,prəmɪˈʐutək
переход,pʲɪrʲɪˈxod
позвонить,pəzvɐˈnʲitʲ
проверить,prɐˈvʲɛrʲɪtʲ
платформа,plətˈfɔrmə
первоначально,pʲɪrvəˈnat͡ɕalʲnə
проверка,prɐˈvʲɛrkə
покрасить,pɐˈkrasʲɪtʲ
попытка,pɐˈpɨtkə
производитель,prəɪzˈvɔdʲɪtʲəlʲ
психолог,psɪˈxolək
поздравление,pəzdrɐˈvlʲenʲɪjə
проведение,prəvʲɪˈdʲenʲɪjə
попутчик,pɐˈput͡ɕɪk
положение,pəɫɐˈʐenʲɪjə
пояснить,pɐɪˈsnʲitʲ
попрощаться,pəprɐˈɕːæt͡sə
полететь,pɐlʲɪˈtʲetʲ
покидать,pɐkʲɪˈdatʲ
поработать,pɐrɐˈbotətʲ
пустой,ˈpʊsːtoj
постоянный,pəstɐˈjænɨj
побочный,pɐˈbot͡ʂnɨj
провал,prəˈval
поздний,ˈpozdnʲɪj
практически,prɐkˈtʲɪt͡ʂɨskʲɪ
пожилой,pɐʐɨˈloj
порядок,pɐˈrʲadək
погрешность,pɐˈɡrʲeʂnəsʲtʲ
поток,pɐˈtok
педагог,pʲɪˈdʲæɡok
праздник,ˈprazdnʲɪk
потребитель,pɐtrʲɪˈbʲitʲɪlʲ
положительный,pɐlɐˈʐɨtʲɪlʲnɨj
пограничник,pɐɡrɐˈnʲit͡ʂnʲɪk
параллель,pɐrɐˈlʲɛlʲ
психотерапевт,psɪxətəˈrʲɛpt
периферия,pʲɪrʲɪˈfʲɛrʲɪjə
помощь,ˈpoməʂʲ
пластик,ˈplastʲɪk
поздно,ˈpozdnə
переход,pʲɪrʲɪˈxod
поздравить,pəzˈdravʲɪtʲ
поступление,pɐstʊˈplʲenʲɪjə